factor_name,original_frequency,category,period_used,trend_strength,seasonal_strength,trend_slope,mean_resid,std_resid,skew_resid,kurtosis_resid,lb_pvalue,normal_pvalue,passed_white_noise,passed_normality,final_length,image_path,adf_p,kpss_p,is_stationary,station_method,is_stationary_after
perpetuals_reference_rate,1h,derivatives,24,0.025722037165041085,0.17676720119957473,0.0019735136180292407,-6.1920395835202795,352.3415857075535,0.08929141366007826,14.897003816615424,4.8564967197430396e-83,0.0,False,False,7462,./data/image_multi_freq/perpetuals_reference_rate_1h.png,0.7554465648151469,0.01,False,diff1,True
futures_vd_perpetual,10m,derivatives,144,0.002381297145598519,0.12173279596594896,0.0017703580321922377,-6.658773885092658,968.0696047257094,0.03947854272872343,30.115148086071287,6.318947683656559e-27,0.0,False,False,44783,./data/image_multi_freq/futures_vd_perpetual_10m.png,0.0,0.1,True,none,True
options_25delta_skew_6_months,10m,derivatives,144,0.0027988958446614177,0.22876437686824833,1.2724267362324108e-09,2.9989075479580774e-06,0.001225446776802478,0.035030278900080876,50.866607467983435,1.595171036163559e-161,0.0,False,False,44782,./data/image_multi_freq/options_25delta_skew_6_months_10m.png,0.00014349098628256796,0.01,False,diff1,True
futures_volume_daily_sum,10m,derivatives,144,0.016153492397300524,0.11037973405187428,-0.011667866478948966,34.89325884584701,8193.429340986484,0.039706811819399807,26.48287260194612,0.0,0.0,False,False,44782,./data/image_multi_freq/futures_volume_daily_sum_10m.png,4.188507713846254e-20,0.01,False,diff1,True
options_atm_implied_volatility_3_months,10m,derivatives,144,0.007143730599073286,0.4526574723265775,-6.98773084975802e-07,0.0012395991492691288,0.07676153538144233,0.2982431084819787,68.40466159212008,0.0,0.0,False,False,44782,./data/image_multi_freq/options_atm_implied_volatility_3_months_10m.png,0.3841198250893132,0.01,False,diff1,True
futures_volume_buy_daily_sum,10m,derivatives,144,0.01650643665748261,0.10352402283881083,-0.006449444083397754,-7.551680155125554,3939.9141725440836,-0.24170129231462256,32.51878386403729,0.0,0.0,False,False,44782,./data/image_multi_freq/futures_volume_buy_daily_sum_10m.png,6.735255614148685e-21,0.01,False,diff1,True
options_25delta_skew_3_months,10m,derivatives,144,0.004933886659895574,0.23857681317021162,-6.789358782120291e-09,-1.2425279812678001e-05,0.0014528787875453474,-1.1693815866173485,32.77900627482491,2.427159240970146e-69,0.0,False,False,44782,./data/image_multi_freq/options_25delta_skew_3_months_10m.png,0.0003548659699477069,0.01,False,diff1,True
options_atm_implied_volatility_6_months,10m,derivatives,144,0.006108600881522076,0.5138992603054302,-3.41029334019862e-07,0.0008063307500205212,0.07294770990168017,-13.98434271978512,1383.3982792445427,0.0,0.0,False,False,44782,./data/image_multi_freq/options_atm_implied_volatility_6_months_10m.png,0.7957365134699712,0.01,False,diff1,True
futures_liquidated_volume_long_sum,10m,derivatives,144,0.004034342580786111,0.09067097015482556,-1.0860989867617022e-05,1.9633989315108091,21.688294032486308,54.63462245975384,5529.210931725749,0.0,0.0,False,False,44783,./data/image_multi_freq/futures_liquidated_volume_long_sum_10m.png,0.0,0.1,True,none,True
futures_liquidated_volume_short_mean,10m,derivatives,144,0.0023971495656734455,0.7661669972633429,-4.2275375725165907e-07,-0.0015133305087860495,0.24462466812329392,-5.906302030773923,523.8833013865893,0.0,0.0,False,False,44782,./data/image_multi_freq/futures_liquidated_volume_short_mean_10m.png,0.0,0.01,False,diff1,True
futures_funding_rate_perpetual,10m,derivatives,144,0.00643333023811618,0.3373601239127648,-1.486076319311807e-12,-3.8762790325006694e-08,4.7599268950512444e-06,-3.2284275942004497,193.3112776481354,0.0,0.0,False,False,44782,./data/image_multi_freq/futures_funding_rate_perpetual_10m.png,2.2970163293024214e-18,0.01,False,diff1,True
options_open_interest_put_call_ratio,10m,derivatives,144,0.0021559184721236125,0.6995581327690463,-1.2418841691432653e-08,1.1637364121638473e-05,0.003971105422975513,2.7244743116301997,4455.073330910841,0.0,0.0,False,False,44782,./data/image_multi_freq/options_open_interest_put_call_ratio_10m.png,0.018572002056030865,0.01,False,diff1,True
options_25delta_skew_1_month,10m,derivatives,144,0.0029432547623436537,0.19006389329955628,-1.2984839169976476e-09,-1.914388234929465e-05,0.0025132040695431844,0.6792738008659264,61.13031589607152,1.0184761225559553e-37,0.0,False,False,44782,./data/image_multi_freq/options_25delta_skew_1_month_10m.png,0.00014340750798034018,0.01,False,diff1,True
options_atm_implied_volatility_1_week,10m,derivatives,144,0.008512505474241315,0.2581278063111607,-5.62636617784408e-07,0.015547660948871167,0.2865410483605087,1.3464100967203934,61.877967555114765,0.0,0.0,False,False,44782,./data/image_multi_freq/options_atm_implied_volatility_1_week_10m.png,1.535088552833785e-05,0.01,False,diff1,True
futures_open_interest_cash_margin_sum,10m,derivatives,144,0.002624377810917471,0.4459196199499334,-0.002174317430034764,-21.13330674872634,818.6849239349891,0.5370625313218704,123.37039920704791,2.1029844741527327e-299,0.0,False,False,44782,./data/image_multi_freq/futures_open_interest_cash_margin_sum_10m.png,0.26681379508441017,0.01,False,diff1,True
futures_volume_sell_perpetual_sum,10m,derivatives,144,0.00100413479861868,0.1477921443575362,0.001541074555735876,38.61865724341929,2248.113829219339,1.2804493637772039,33.70258562734024,0.0,0.0,False,False,44782,./data/image_multi_freq/futures_volume_sell_perpetual_sum_10m.png,0.0,0.01,False,diff1,True
options_volume_daily_sum,10m,derivatives,144,0.012110576659452425,0.5769920260998518,-4.8394594219004085e-05,6.197562051874322,492.446971031606,7.36935718770032,683.9649896589852,0.0,0.0,False,False,44782,./data/image_multi_freq/options_volume_daily_sum_10m.png,1.0284784748515881e-21,0.016467103491190647,False,diff1,True
futures_open_interest_crypto_margin_relative,10m,derivatives,144,0.0022581747747303363,0.3115396805679692,2.209061392020137e-09,3.123636069566582e-05,0.0031515080186991064,0.05670645027857125,11.703759649007695,0.0,0.0,False,False,44782,./data/image_multi_freq/futures_open_interest_crypto_margin_relative_10m.png,0.029174183813408996,0.01,False,diff1,True
futures_open_interest_crypto_margin_perpetual_sum,10m,derivatives,144,0.002038840375734646,0.39865449113727325,0.006483560001020833,11.728748670386242,1121.383656212141,0.18597625353948827,13.843850674082383,0.0,0.0,False,False,44782,./data/image_multi_freq/futures_open_interest_crypto_margin_perpetual_sum_10m.png,2.886980307824175e-08,0.01,False,diff1,True
options_volume_put_call_ratio,10m,derivatives,144,0.0016445457254844476,0.13599030939462167,2.019516202693216e-08,2.6019994158288047e-05,0.019819867351100327,-0.5618417534857166,71.67737680716834,4.5245786160789396e-83,0.0,False,False,44782,./data/image_multi_freq/options_volume_put_call_ratio_10m.png,9.28343627019092e-22,0.01,False,diff1,True
futures_open_interest_cash_margin_perpetual_sum,10m,derivatives,144,0.0024769299813780753,0.44239676446136805,-0.0031274938650345512,-19.996268254914835,791.1456958868729,-0.4752376165129088,105.95136200720306,0.0,0.0,False,False,44782,./data/image_multi_freq/futures_open_interest_cash_margin_perpetual_sum_10m.png,0.25234868375808894,0.01,False,diff1,True
futures_open_interest_crypto_margin_sum,10m,derivatives,144,0.0018770135415689846,0.3720252603905774,0.005596102484793285,11.94182023213806,1499.7483719354918,0.09781173272351419,13.064433225955025,0.0,0.0,False,False,44782,./data/image_multi_freq/futures_open_interest_crypto_margin_sum_10m.png,0.0008018832148760329,0.01,False,diff1,True
futures_open_interest_crypto_margin_relative_perpetual,10m,derivatives,144,0.00260462290792052,0.33669607985544714,5.101447714459587e-09,3.0447665308979568e-05,0.002817055819611204,0.0748362446275127,12.360336526349908,0.0,0.0,False,False,44782,./data/image_multi_freq/futures_open_interest_crypto_margin_relative_perpetual_10m.png,0.006420576250191724,0.01,False,diff1,True
futures_annualized_basis_3m,10m,derivatives,144,0.00238963140573338,0.19199586200077348,-1.816801894429412e-09,-8.507030794775782e-06,0.0015290736353458121,-0.3067851888534934,27.948345186107556,0.0,0.0,False,False,44782,./data/image_multi_freq/futures_annualized_basis_3m_10m.png,0.3970162883578783,0.01,False,diff1,True
options_atm_implied_volatility_1_month,10m,derivatives,144,0.008796416842235465,0.36845705885861446,-7.630529216860785e-07,0.003780915299856627,0.12662808420577326,0.4807017721388629,55.254457022748326,0.0,0.0,False,False,44782,./data/image_multi_freq/options_atm_implied_volatility_1_month_10m.png,0.007987916419302727,0.01,False,diff1,True
futures_liquidated_volume_long_mean,10m,derivatives,144,0.00046384821429909236,0.032047835687588386,-2.734609372597968e-06,0.03626547901788203,0.85908981114719,140.36723632923182,23365.155912428214,0.9999999988785799,0.0,True,False,44783,./data/image_multi_freq/futures_liquidated_volume_long_mean_10m.png,0.0,0.1,True,none,True
futures_volume_perpetual_sum,10m,derivatives,144,0.001125797840777062,0.15469810669991027,-0.0010284834504041274,93.66947868847441,4312.26018677825,1.3268305107148202,36.55695731533409,0.0,0.0,False,False,44782,./data/image_multi_freq/futures_volume_perpetual_sum_10m.png,0.0,0.01,False,diff1,True
futures_liquidated_volume_long_relative,10m,derivatives,144,0.0018334932513467028,0.2026396233307054,7.353694107253578e-07,-0.001563263760984732,0.5207177585462017,-0.0030647169839099556,1.1881261333897406,0.0,1.4929397835769728e-238,False,False,44782,./data/image_multi_freq/futures_liquidated_volume_long_relative_10m.png,0.0,0.01,False,diff1,True
futures_liquidated_volume_short_sum,10m,derivatives,144,0.004133310614736906,0.17015891904896321,-1.4183054989341969e-05,1.308954624183647,14.751697587613448,45.76129289194785,4143.851282228001,3.3562441531712213e-225,0.0,False,False,44783,./data/image_multi_freq/futures_liquidated_volume_short_sum_10m.png,0.0,0.1,True,none,True
futures_volume_daily_perpetual_sum,10m,derivatives,144,0.016117003415189336,0.10957215437415097,-0.014042596837558338,29.846197530323405,8111.111718237959,0.029050468525500264,26.328327806983616,0.0,0.0,False,False,44782,./data/image_multi_freq/futures_volume_daily_perpetual_sum_10m.png,4.331372205738904e-20,0.01,False,diff1,True
futures_volume_buy_sum,10m,derivatives,144,0.0012340742364110118,0.15067891392169483,-0.0001329800629591357,30.282054849332926,2288.618567393086,1.1847217070339293,36.92158016671451,0.0,0.0,False,False,44782,./data/image_multi_freq/futures_volume_buy_sum_10m.png,0.0,0.01,False,diff1,True
futures_volume_buy_daily_perpetual_sum,10m,derivatives,144,0.016494926994920337,0.10418721487405933,-0.0060016860168590975,-7.008622106657564,3904.1851963699582,-0.2296843136122014,32.35930336234234,0.0,0.0,False,False,44782,./data/image_multi_freq/futures_volume_buy_daily_perpetual_sum_10m.png,7.074514970446733e-21,0.01,False,diff1,True
futures_volume_sell_daily_perpetual_sum,10m,derivatives,144,0.016149363046458465,0.09497581372789998,0.00026288052154634,26.23772633109584,3946.7840355625763,0.5555302803802468,29.530810432327428,0.0,0.0,False,False,44782,./data/image_multi_freq/futures_volume_sell_daily_perpetual_sum_10m.png,8.356932254387576e-21,0.01,False,diff1,True
futures_volume_sell_sum,10m,derivatives,144,0.00103082213438095,0.14820823587280388,0.0012587391230714784,39.478274146028724,2268.4636564407,1.2825694314024063,33.93189508908448,0.0,0.0,False,False,44782,./data/image_multi_freq/futures_volume_sell_sum_10m.png,0.0,0.01,False,diff1,True
