,factor_name,original_frequency,category,period_used,trend_strength,seasonal_strength,trend_slope,mean_resid,std_resid,skew_resid,kurtosis_resid,lb_pvalue,normal_pvalue,passed_white_noise,passed_normality,final_length,image_path,adf_p,kpss_p,is_stationary,station_method,is_stationary_after,score
89,transfers_volume_from_miners_sum,10m,transactions,144,0.0007753907182321,0.6051162740107763,-2.619259948473472e-05,0.0408624251367223,38.46344568272781,0.8168962370559725,728.628759521698,0.0,0.0,False,False,44782,./data/image_multi_freq/transfers_volume_from_miners_sum_10m.png,0.0,0.0247883274671401,False,diff1,True,0.6058916647290084
62,active_1w_1m,10m,supply,144,0.0129597295759679,0.588726684135529,-0.0081108253272107,30.549629025263823,2209.653648428915,17.862479847444202,1176.7572505487367,1.9127863147586447e-21,0.0,False,False,44782,./data/image_multi_freq/active_1w_1m_10m.png,0.5193644675741583,0.01,False,diff1,True,0.6016864137114969
36,options_open_interest_sum,10m,derivatives,144,0.0014693389839278,0.6002081183351797,-0.0123069364680141,13.705161348437972,3031.4908099189315,-15.218761487567765,2679.173964800181,0.0,0.0,False,False,44782,./data/image_multi_freq/options_open_interest_sum_10m.png,0.0003596972005296,0.01,False,diff1,True,0.6016774573191075
85,transfers_volume_lth_to_exchanges_loss_sum,10m,transactions,144,0.0004512439902738,0.5994264721639971,-1.7738722289861246e-06,-0.0020127862188612,6.032811725334028,-0.2644181640076121,1137.543473655083,0.0,0.0,False,False,44782,./data/image_multi_freq/transfers_volume_lth_to_exchanges_loss_sum_10m.png,0.0,0.01,False,diff1,True,0.599877716154271
117,transfers_volume_entity_adjusted_from_lth_sum,10m,transactions,144,0.0020150804254158,0.5903022294085556,0.0009286481394377,2.9313524985095096,389.49090575298817,-3.858332399754657,379.3784337501641,0.0,0.0,False,False,44782,./data/image_multi_freq/transfers_volume_entity_adjusted_from_lth_sum_10m.png,0.0,0.01,False,diff1,True,0.5923173098339714
16,options_volume_daily_sum,10m,derivatives,144,0.0121105766594524,0.5769920260998518,-4.8394594219004085e-05,6.197562051874322,492.446971031606,7.36935718770032,683.9649896589852,0.0,0.0,False,False,44782,./data/image_multi_freq/options_volume_daily_sum_10m.png,1.0284784748515881e-21,0.0164671034911906,False,diff1,True,0.5891026027593042
141,min_10k_count,10m,addresses,144,0.0547925727468637,0.4981340066121972,1.8547614614982442e-07,-0.0005555452336424,0.0694541237373164,-1.1934973223652066,245.2343462737123,1.7143090520441546e-201,0.0,False,False,44782,./data/image_multi_freq/min_10k_count_10m.png,0.2840401276623709,0.01,False,diff1,True,0.5529265793590609
124,supply_balance_1k_10k,10m,addresses,144,0.0046636584144594,0.5477159489834436,-0.0040030600777779,-0.0114628686700793,852.9717797834461,2.374796261554688,130.2482900234332,5.06491099403993e-16,0.0,False,False,44782,./data/image_multi_freq/supply_balance_1k_10k_10m.png,0.7138767426839455,0.01,False,diff1,True,0.5523796073979029
122,transfers_volume_whales_to_exchanges_sum,10m,transactions,144,0.0022638901893677,0.5428151599272459,0.0008045947442925,0.8996314916707692,253.53615932654068,1.289309613866094,116.49533231212054,0.0,0.0,False,False,44782,./data/image_multi_freq/transfers_volume_whales_to_exchanges_sum_10m.png,0.0,0.01,False,diff1,True,0.5450790501166136
7,options_atm_implied_volatility_6_months,10m,derivatives,144,0.006108600881522,0.5138992603054302,-3.41029334019862e-07,0.0008063307500205,0.0729477099016801,-13.98434271978512,1383.398279244543,0.0,0.0,False,False,44782,./data/image_multi_freq/options_atm_implied_volatility_6_months_10m.png,0.7957365134699712,0.01,False,diff1,True,0.5200078611869522
90,transfers_volume_exchanges_to_whales_sum,10m,transactions,144,0.001324457146325,0.5052139548148036,0.0003611651783867,-0.3615398197018449,311.5901952858015,-0.6017231322280403,259.95940667265046,0.0,0.0,False,False,44782,./data/image_multi_freq/transfers_volume_exchanges_to_whales_sum_10m.png,0.0,0.01,False,diff1,True,0.5065384119611286
60,liquid_sum,10m,supply,144,0.0051015406354493,0.5003566280648302,0.0001935853764301,1.610441725907274,300.7334319344143,10.367926687730192,707.6298222513906,3.042352137711403e-09,0.0,False,False,44782,./data/image_multi_freq/liquid_sum_10m.png,0.9461223448428135,0.01,False,diff1,True,0.5054581687002795
83,transfers_volume_adjusted_median,10m,transactions,144,0.0043577516557962,0.4952460928147644,-8.480609493401265e-09,8.736142609341071e-05,0.0021517457630433,17.48738159398437,1164.284507578196,0.0,0.0,False,False,44782,./data/image_multi_freq/transfers_volume_adjusted_median_10m.png,0.0,0.01,False,diff1,True,0.4996038444705606
107,transfers_volume_within_exchanges_sum,10m,transactions,144,0.0018270648601414,0.4881206284232363,-0.0005944784562819,97.16236098353636,3233.9059882274346,2.999676079829672,97.6058850963052,0.0,0.0,False,False,44782,./data/image_multi_freq/transfers_volume_within_exchanges_sum_10m.png,0.0,0.01,False,diff1,True,0.48994769328337767
63,active_1d_1w,10m,supply,144,0.0097236855185778,0.471027878467915,0.0016120090975249,32.75718612808522,2926.122839926772,-0.1541740079212671,51.31420337441756,4.93933751023021e-85,0.0,False,False,44782,./data/image_multi_freq/active_1d_1w_10m.png,3.335935361678727e-05,0.01,False,diff1,True,0.48075156398649277
50,revived_more_5y_sum,10m,supply,144,0.0003250260574268,0.4731620107784281,1.15428870248717e-05,0.1231132294976665,259.88603959327247,0.947713008145154,1105.1190090855996,0.0,0.0,False,False,44782,./data/image_multi_freq/revived_more_5y_sum_10m.png,0.0,0.01,False,diff1,True,0.4734870368358549
88,transfers_volume_to_otc_desks_sum,10m,transactions,144,0.0017916406155973,0.4588283635231358,0.0002170354980314,0.4685944955366756,109.45094660854568,1.5513912719837866,261.57739892151113,0.0,0.0,False,False,44782,./data/image_multi_freq/transfers_volume_to_otc_desks_sum_10m.png,0.0,0.0366601027014794,False,diff1,True,0.46062000413873305
55,active_24h,10m,supply,144,0.0071744963267613,0.4528867323478674,0.001274510615372,19.02889161950557,3194.9292769810186,-0.2186126061847982,180.8371847797026,3.817764897607528e-42,0.0,False,False,44782,./data/image_multi_freq/active_24h_10m.png,2.184988623915846e-17,0.01,False,diff1,True,0.46006122867462873
